,user_id,order_id,department_id
187,2,839880,16
188,2,1199898,19
189,2,3194192,19
190,2,788338,19
191,2,1199898,16
192,2,1199898,16
193,2,1718559,16
194,2,1402090,16
195,2,3186735,16
196,2,839880,16
197,2,1199898,16
198,2,1718559,16
199,2,1447487,16
200,2,1199898,16
201,2,1718559,16
202,2,1447487,16
203,2,1402090,16
204,2,3186735,16
205,2,839880,16
206,2,1199898,16
207,2,1199898,16
208,2,1199898,16
209,2,3194192,16
210,2,788338,16
211,2,3194192,16
212,2,788338,16
213,2,3194192,16
214,2,788338,16
215,2,788338,19
216,2,788338,20
217,2,3186735,20
218,2,788338,12
219,2,788338,7
220,2,788338,1
221,2,1718559,1
222,2,1447487,1
223,2,1402090,1
224,2,788338,4
225,2,788338,13
226,2,1718559,19
227,2,1718559,19
228,2,1718559,19
229,2,1718559,16
230,2,3186735,16
231,2,1718559,4
232,2,1718559,1
233,2,1718559,1
234,2,1718559,1
235,2,1718559,1
236,2,1718559,1
237,2,1718559,1
238,2,1718559,1
239,2,1447487,6
240,2,839880,6
241,2,1402090,6
242,2,1402090,19
243,2,1402090,20
244,2,3186735,7
245,2,3186735,19
246,2,3186735,7
247,2,839880,7
248,2,3186735,4
249,2,3186735,19
250,2,3186735,13
251,2,3186735,13
252,2,3186735,3
253,2,3268552,20
254,2,3268552,19
255,2,3268552,15
256,2,3268552,13
257,2,3268552,13
258,2,3268552,19
259,2,3268552,4
260,2,3268552,4
261,4,691089,4
262,2,3268552,3
263,2,839880,4
264,2,839880,7
265,2,839880,4
266,2,839880,16
267,2,839880,13
268,2,839880,1
269,3,1374495,4
270,3,2037211,4
271,3,2710558,4
272,3,1972919,4
273,3,1839752,4
274,3,1374495,16
275,3,444309,16
276,3,2710558,16
277,3,676467,16
278,3,521107,16
279,3,1374495,4
280,3,1374495,16
281,3,3002854,16
282,3,2710558,16
283,3,1972919,16
284,3,1839752,16
285,3,3225766,16
286,3,3160850,16
287,3,676467,16
288,3,521107,16
289,3,1402502,16
290,3,1374495,4
291,3,444309,4
292,3,3002854,4
293,3,2710558,4
294,3,1839752,4
295,3,3225766,4
296,3,521107,4
297,3,1402502,4
298,3,1374495,4
299,3,1374495,19
300,3,1972919,19
301,3,1402502,19
302,3,1374495,19
303,3,444309,19
304,3,676467,19
305,3,444309,16
306,3,444309,19
307,3,444309,16
308,3,444309,17
309,3,444309,4
310,3,444309,7
311,3,1402502,7
312,3,3002854,4
313,3,3002854,20
314,3,2710558,20
315,3,3002854,19
316,3,2037211,13
317,3,1972919,13
318,3,1839752,13
319,3,2037211,19
320,3,2037211,1
321,3,2710558,1
322,3,2037211,1
323,3,1839752,1
324,3,2710558,16
325,3,1972919,16
326,3,3225766,16
327,3,2710558,4
328,3,2710558,16
329,3,2710558,4
330,3,1972919,4
331,3,1972919,4
332,3,1839752,4
333,3,1839752,4
334,3,3225766,4
335,3,3160850,4
336,3,521107,4
337,3,1839752,9
338,3,3225766,9
339,3,676467,9
340,3,1402502,9
341,3,3225766,13
342,3,3225766,1
343,3,3160850,1
344,3,676467,7
345,4,3343014,3
346,4,3343014,7
347,4,3343014,1
348,4,691089,1
349,4,3343014,17
350,4,2030307,5
351,4,2030307,17
352,4,691089,15
353,4,691089,7
354,4,691089,3
355,4,691089,1
356,4,94891,5
357,4,94891,7
358,4,2557754,19
359,4,2557754,20
360,4,2557754,20
361,5,2717275,13
362,5,2717275,6
363,5,157374,6
364,5,2717275,4
365,5,2717275,4
366,5,2717275,4
367,5,157374,4
368,5,2717275,4
369,5,1909121,4
370,5,2267326,4
371,5,157374,4
372,5,2717275,4
373,5,2717275,4
374,5,1909121,4
375,5,2267326,4
376,5,157374,4
377,5,2717275,16
378,5,1909121,16
379,5,157374,16
380,5,2717275,4
381,5,2717275,16
382,5,1909121,16
383,5,157374,16
384,5,1909121,9
385,5,1909121,4
386,5,1909121,13
387,5,1909121,19
388,5,1909121,4
389,5,157374,4
390,5,2267326,1
391,5,2267326,1
392,5,2267326,4
393,5,157374,4
394,5,157374,16
395,5,157374,15
396,5,157374,16
